115.0   97.0   133.0   1.1357   0.014407   -0.014407
153.5   133.0   174.0   1.0875   0.013926   -0.013926
197.0   174.0   220.0   1.0598   0.012287   -0.012287
246.0   220.0   272.0   1.0424   0.010521   -0.010521
301.0   272.0   330.0   1.0309   0.0089108   -0.0089108
362.5   330.0   395.0   1.0229   0.0075208   -0.0075208
431.5   395.0   468.0   1.0171   0.0063378   -0.0063378
508.0   468.0   548.0   1.0129   0.0053465   -0.0053465
593.0   548.0   638.0   1.0097   0.0045144   -0.0045144
687.5   638.0   737.0   1.0072   0.0038119   -0.0038119
791.5   737.0   846.0   1.0053   0.0032227   -0.0032227
906.5   846.0   967.0   1.0038   0.0027233   -0.0027233
1034.0   967.0   1101.0   1.0026   0.002297   -0.002297
1174.5   1101.0   1248.0   1.0017   0.0019338   -0.0019338
1329.0   1248.0   1410.0   1.0009   0.0016235   -0.0016235
1499.0   1410.0   1588.0   1.0002   0.0013571   -0.0013571
1686.0   1588.0   1784.0   0.99968   0.0011276   -0.0011276
1892.0   1784.0   2000.0   0.99924   0.00092891   -0.00092891
2119.0   2000.0   2238.0   0.99886   0.00075637   -0.00075637
